,step,n_step,ae_model_type,codebook_size,env_name,filter_size,final_latent_dim,latent_dim,trans_hidden,experiment_key,random_state_distrib_kl_div,random_uniform_distrib_kl_div,goal_state_distrib_kl_div,goal_delayed_state_distrib_kl_div,goal_uniform_distrib_kl_div,explore_right_state_distrib_kl_div,explore_right_delayed_state_distrib_kl_div,explore_right_uniform_distrib_kl_div,e2e_loss
65,3,3,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,64c3c3450d97458fa77bf65167697877,0.00763425137847662,2.060746192932129,,,,,,,
66,4,4,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,64c3c3450d97458fa77bf65167697877,0.033699147403240204,1.8290282487869263,,,,,,,
67,5,5,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,64c3c3450d97458fa77bf65167697877,0.014955388382077217,1.6458309888839722,,,,,,,
68,6,6,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,64c3c3450d97458fa77bf65167697877,0.035008449107408524,1.502053141593933,,,,,,,
69,7,7,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,64c3c3450d97458fa77bf65167697877,0.03530176728963852,1.3871979713439941,,,,,,,
70,8,8,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,64c3c3450d97458fa77bf65167697877,0.04469075798988342,1.285766839981079,,,,,,,
71,9,9,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,64c3c3450d97458fa77bf65167697877,0.037189166992902756,1.1958539485931396,,,,,,,
72,10,10,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,64c3c3450d97458fa77bf65167697877,0.04123977571725845,1.1145355701446533,,,,,,,
73,11,11,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,64c3c3450d97458fa77bf65167697877,0.05358096584677696,1.0433870553970337,,,,,,,
74,12,12,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,64c3c3450d97458fa77bf65167697877,0.03922390937805176,0.9822044968605042,,,,,,,
75,13,13,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,64c3c3450d97458fa77bf65167697877,0.033540643751621246,0.922993540763855,,,,,,,
76,14,14,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,64c3c3450d97458fa77bf65167697877,0.04121425375342369,0.8737687468528748,,,,,,,
77,15,15,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,64c3c3450d97458fa77bf65167697877,0.030110850930213928,0.8220321536064148,,,,,,,
78,16,16,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,64c3c3450d97458fa77bf65167697877,0.04035170003771782,0.7757061719894409,,,,,,,
79,17,17,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,64c3c3450d97458fa77bf65167697877,0.04763136804103851,0.7334802746772766,,,,,,,
80,18,18,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,64c3c3450d97458fa77bf65167697877,0.05399386212229729,0.6925769448280334,,,,,,,
81,19,19,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,64c3c3450d97458fa77bf65167697877,0.029244521632790565,0.6544463634490967,,,,,,,
82,20,20,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,64c3c3450d97458fa77bf65167697877,0.027241121977567673,0.6217685341835022,,,,,,,
83,21,21,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,64c3c3450d97458fa77bf65167697877,0.03286145627498627,0.5909252166748047,,,,,,,
84,22,22,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,64c3c3450d97458fa77bf65167697877,0.018800318241119385,0.5586317777633667,,,,,,,
85,23,23,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,64c3c3450d97458fa77bf65167697877,0.017255447804927826,0.5349504351615906,,,,,,,
86,24,24,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,64c3c3450d97458fa77bf65167697877,0.027677621692419052,0.5081539750099182,,,,,,,
87,25,25,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,64c3c3450d97458fa77bf65167697877,0.01609787531197071,0.4803164005279541,,,,,,,
88,26,26,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,64c3c3450d97458fa77bf65167697877,0.016071133315563202,0.45506998896598816,,,,,,,
89,27,27,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,64c3c3450d97458fa77bf65167697877,0.013620352372527122,0.4341760277748108,,,,,,,
90,28,28,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,64c3c3450d97458fa77bf65167697877,0.01580197364091873,0.41364923119544983,,,,,,,
91,29,29,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,64c3c3450d97458fa77bf65167697877,0.017753755673766136,0.3960984945297241,,,,,,,
92,30,30,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,64c3c3450d97458fa77bf65167697877,0.01877628266811371,0.3792126774787903,,,,,,,
93,0,0,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,,,,,,,,,
94,1,1,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.0019096266478300095,2.9631471633911133,,,,,,,
95,2,2,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.004478679969906807,2.4012930393218994,,,,,,,
96,3,3,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.0030421200208365917,2.060746192932129,,,,,,,
97,4,4,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.02230258658528328,1.8290282487869263,,,,,,,
98,5,5,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.016745058819651604,1.6458309888839722,,,,,,,
99,6,6,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.03021126613020897,1.502053141593933,,,,,,,
100,7,7,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.051808394491672516,1.3871979713439941,,,,,,,
101,8,8,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.034608084708452225,1.285766839981079,,,,,,,
102,9,9,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.04385802522301674,1.1958539485931396,,,,,,,
103,10,10,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.01963943988084793,1.1145355701446533,,,,,,,
104,11,11,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.015616752207279205,1.0433870553970337,,,,,,,
105,12,12,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.042115211486816406,0.9822044968605042,,,,,,,
106,13,13,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.030085284262895584,0.922993540763855,,,,,,,
107,14,14,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.03974516689777374,0.8737687468528748,,,,,,,
108,15,15,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.02120940200984478,0.8220321536064148,,,,,,,
109,16,16,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.03198594972491264,0.7757061719894409,,,,,,,
110,17,17,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.029680665582418442,0.7334802746772766,,,,,,,
111,18,18,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.03034622222185135,0.6925769448280334,,,,,,,
112,19,19,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.027628034353256226,0.6544463634490967,,,,,,,
113,20,20,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.03261614963412285,0.6217685341835022,,,,,,,
114,21,21,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.025005120784044266,0.5909252166748047,,,,,,,
115,22,22,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.020453181117773056,0.5586317777633667,,,,,,,
116,23,23,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.014641916379332542,0.5349504351615906,,,,,,,
117,24,24,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.013111075386404991,0.5081539750099182,,,,,,,
118,25,25,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.014190008863806725,0.4803164005279541,,,,,,,
119,26,26,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.013254918158054352,0.45506998896598816,,,,,,,
120,27,27,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.012293463572859764,0.4341760277748108,,,,,,,
121,28,28,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.019528314471244812,0.41364923119544983,,,,,,,
122,29,29,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.011708127334713936,0.3960984945297241,,,,,,,
123,30,30,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,311a4042bc0f4f41b6ce2e82a23fd7c1,0.013508990406990051,0.3792126774787903,,,,,,,
124,0,0,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,70478943ebcf4c4c88c3c43c7e6010fb,,,,,,,,,
125,1,1,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,70478943ebcf4c4c88c3c43c7e6010fb,0.0011570716742426157,2.9631471633911133,,,,,,,
126,2,2,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,70478943ebcf4c4c88c3c43c7e6010fb,0.0018328619189560413,2.4012930393218994,,,,,,,
127,3,3,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,70478943ebcf4c4c88c3c43c7e6010fb,0.0045630307868123055,2.060746192932129,,,,,,,
128,4,4,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,70478943ebcf4c4c88c3c43c7e6010fb,0.0230261143296957,1.8290282487869263,,,,,,,
129,5,5,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,70478943ebcf4c4c88c3c43c7e6010fb,0.023393839597702026,1.6458309888839722,,,,,,,
130,6,6,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,70478943ebcf4c4c88c3c43c7e6010fb,0.02581782639026642,1.502053141593933,,,,,,,
131,7,7,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,70478943ebcf4c4c88c3c43c7e6010fb,0.02440670132637024,1.3871979713439941,,,,,,,
132,8,8,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,70478943ebcf4c4c88c3c43c7e6010fb,0.04198848456144333,1.285766839981079,,,,,,,
133,9,9,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,70478943ebcf4c4c88c3c43c7e6010fb,0.026353701949119568,1.1958539485931396,,,,,,,
134,10,10,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,70478943ebcf4c4c88c3c43c7e6010fb,0.04315825179219246,1.1145355701446533,,,,,,,
135,11,11,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,70478943ebcf4c4c88c3c43c7e6010fb,0.022928189486265182,1.0433870553970337,,,,,,,
136,12,12,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,70478943ebcf4c4c88c3c43c7e6010fb,0.027960270643234253,0.9822044968605042,,,,,,,
137,13,13,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,70478943ebcf4c4c88c3c43c7e6010fb,0.06239869445562363,0.922993540763855,,,,,,,
138,14,14,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,70478943ebcf4c4c88c3c43c7e6010fb,0.03061836026608944,0.8737687468528748,,,,,,,
139,15,15,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,70478943ebcf4c4c88c3c43c7e6010fb,0.040144532918930054,0.8220321536064148,,,,,,,
140,16,16,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,70478943ebcf4c4c88c3c43c7e6010fb,0.049497123807668686,0.7757061719894409,,,,,,,
141,17,17,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,70478943ebcf4c4c88c3c43c7e6010fb,0.04271942004561424,0.7334802746772766,,,,,,,
142,18,18,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,70478943ebcf4c4c88c3c43c7e6010fb,0.05039747804403305,0.6925769448280334,,,,,,,
143,19,19,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,70478943ebcf4c4c88c3c43c7e6010fb,0.0299806110560894,0.6544463634490967,,,,,,,
144,20,20,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,70478943ebcf4c4c88c3c43c7e6010fb,0.03876118361949921,0.6217685341835022,,,,,,,
145,21,21,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,70478943ebcf4c4c88c3c43c7e6010fb,0.05112353712320328,0.5909252166748047,,,,,,,
146,22,22,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,70478943ebcf4c4c88c3c43c7e6010fb,0.03781113773584366,0.5586317777633667,,,,,,,
147,23,23,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,70478943ebcf4c4c88c3c43c7e6010fb,0.034895434975624084,0.5349504351615906,,,,,,,
148,24,24,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,70478943ebcf4c4c88c3c43c7e6010fb,0.017935745418071747,0.5081539750099182,,,,,,,
149,25,25,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,70478943ebcf4c4c88c3c43c7e6010fb,0.029119808226823807,0.4803164005279541,,,,,,,
