,step,n_step,ae_model_type,codebook_size,env_name,filter_size,final_latent_dim,latent_dim,experiment_key,goal_state_distrib_kl_div,goal_delayed_state_distrib_kl_div,goal_uniform_distrib_kl_div,explore_right_state_distrib_kl_div,explore_right_delayed_state_distrib_kl_div,explore_right_uniform_distrib_kl_div
81,19,19,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,15.609679222106934,0.0376061387360096,3.8727519512176514,,,
82,20,20,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,15.696051597595215,0.031317003071308136,4.055161476135254,,,
83,21,21,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,14.968181610107422,0.024281304329633713,4.248812198638916,,,
84,22,22,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,15.577432632446289,0.02477777563035488,4.444065570831299,,,
85,23,23,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,16.037290573120117,0.01776871085166931,4.638254165649414,,,
86,24,24,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,16.422853469848633,0.018604129552841187,4.8197922706604,,,
87,25,25,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,16.790361404418945,0.015962541103363037,4.983548641204834,,,
88,26,26,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,17.112289428710938,0.015916822478175163,5.131689548492432,,,
89,27,27,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,17.634225845336914,0.015015020966529846,5.262822151184082,,,
90,28,28,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,17.547510147094727,0.012370595708489418,5.36965274810791,,,
91,29,29,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,17.690099716186523,0.006957567296922207,5.466979503631592,,,
92,30,30,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,17.848831176757812,0.00873125996440649,5.54659366607666,,,
93,0,0,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,,,,,,
94,1,1,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,0.36877554655075073,-3.2975943753399406E-8,5.214484691619873,,,
95,2,2,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,0.1446712762117386,9.948359489440918,4.824257850646973,,,
96,3,3,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,0.16697467863559723,8.261832237243652,4.583188056945801,,,
97,4,4,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,5.65374231338501,5.553465366363525,4.410275936126709,,,
98,5,5,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,9.530871391296387,4.675449848175049,4.25632381439209,,,
99,6,6,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,12.489424705505371,4.278069496154785,4.131308078765869,,,
100,7,7,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,9.033185958862305,3.839041233062744,4.022337913513184,,,
101,8,8,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,5.686923503875732,2.996077537536621,3.902053117752075,,,
102,9,9,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,5.327507019042969,2.670072317123413,3.754103899002075,,,
103,10,10,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,7.08899450302124,2.382275342941284,3.607405662536621,,,
104,11,11,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,9.285767555236816,1.9763329029083252,3.5106945037841797,,,
105,12,12,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,11.120495796203613,1.7221128940582275,3.469259023666382,,,
106,13,13,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,10.599027633666992,0.9794120192527771,3.475034475326538,,,
107,14,14,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,11.973764419555664,0.6294719576835632,3.507413864135742,,,
108,15,15,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,10.87462043762207,0.5159118175506592,3.5181944370269775,,,
109,16,16,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,12.026701927185059,0.08368639647960663,3.542522430419922,,,
110,17,17,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,11.238175392150879,0.05937465280294418,3.6159842014312744,,,
111,18,18,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,11.502280235290527,0.04707779735326767,3.7291111946105957,,,
112,19,19,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,12.425910949707031,0.0376061387360096,3.8727519512176514,,,
113,20,20,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,11.750860214233398,0.031317003071308136,4.055161476135254,,,
114,21,21,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,12.772588729858398,0.024281304329633713,4.248812198638916,,,
115,22,22,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,12.061440467834473,0.02477777563035488,4.444065570831299,,,
116,23,23,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,12.889178276062012,0.01776871085166931,4.638254165649414,,,
117,24,24,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,13.887533187866211,0.018604129552841187,4.8197922706604,,,
118,25,25,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,14.937016487121582,0.015962541103363037,4.983548641204834,,,
119,26,26,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,15.574834823608398,0.015916822478175163,5.131689548492432,,,
120,27,27,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,15.90152645111084,0.015015020966529846,5.262822151184082,,,
121,28,28,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,16.34920310974121,0.012370595708489418,5.36965274810791,,,
122,29,29,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,16.722341537475586,0.006957567296922207,5.466979503631592,,,
123,30,30,ae,None,minigrid-door-key-stochastic,8,1024,1024,02dedd07deed44c5b4bfdafb34e3f244,17.0526065826416,0.00873125996440649,5.54659366607666,,,
124,0,0,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,,,,,,
125,1,1,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,0.2979286313056946,-3.2975943753399406E-8,5.214484691619873,,,
126,2,2,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,0.17997810244560242,9.948359489440918,4.824257850646973,,,
127,3,3,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,0.16189442574977875,8.261832237243652,4.583188056945801,,,
128,4,4,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,5.357662677764893,5.553465366363525,4.410275936126709,,,
129,5,5,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,9.44697380065918,4.675449848175049,4.25632381439209,,,
130,6,6,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,12.360437393188477,4.278069496154785,4.131308078765869,,,
131,7,7,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,9.604232788085938,3.839041233062744,4.022337913513184,,,
