,step,n_step,explore_right_state_distrib_kl_div,explore_right_delayed_state_distrib_kl_div,explore_right_uniform_distrib_kl_div,ae_model_type,codebook_size,env_name,filter_size,final_latent_dim,latent_dim,experiment_key,goal_state_distrib_kl_div,goal_delayed_state_distrib_kl_div,goal_uniform_distrib_kl_div
90,29,29,11.070279121398926,0.13749411702156067,0.7702150344848633,vqvae,64,minigrid-crossing-stochastic,6,2304,None,7c98e90506654d4488cb334300afc68c,,,
91,30,30,11.38709545135498,0.11380628496408463,0.7695456147193909,vqvae,64,minigrid-crossing-stochastic,6,2304,None,7c98e90506654d4488cb334300afc68c,,,
92,0,0,,,,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
93,1,1,17.410770416259766,-1.2575820385052339E-8,4.125888347625732,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
94,2,2,10.305818557739258,14.875706672668457,3.252357006072998,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
95,3,3,14.42595386505127,12.45455551147461,2.838869571685791,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
96,4,4,8.385489463806152,8.472773551940918,2.556366205215454,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
97,5,5,11.4089937210083,7.351248264312744,2.272615432739258,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
98,6,6,8.969865798950195,6.850794315338135,2.03851318359375,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
99,7,7,8.85896110534668,6.347210884094238,1.8772066831588745,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
100,8,8,9.865869522094727,5.670026779174805,1.6660131216049194,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
101,9,9,10.394561767578125,4.238461017608643,1.6311497688293457,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
102,10,10,10.6281099319458,2.861453056335449,1.50969660282135,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
103,11,11,11.064933776855469,2.4535157680511475,1.4928786754608154,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
104,12,12,11.709334373474121,2.263629198074341,1.4022693634033203,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
105,13,13,11.753323554992676,2.0371580123901367,1.3917887210845947,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
106,14,14,12.244795799255371,1.7373374700546265,1.3130027055740356,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
107,15,15,12.286656379699707,1.415396809577942,1.2793574333190918,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
108,16,16,12.333971977233887,1.2937991619110107,1.2191170454025269,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
109,17,17,12.63891315460205,1.134320616722107,1.1728041172027588,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
110,18,18,12.737889289855957,0.9439319372177124,1.0991735458374023,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
111,19,19,12.655281066894531,0.8465741872787476,1.0757534503936768,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
112,20,20,12.863964080810547,0.6386035680770874,1.005475640296936,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
113,21,21,12.763986587524414,0.5286281704902649,0.9905245900154114,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
114,22,22,12.979684829711914,0.45055773854255676,0.9254506230354309,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
115,23,23,12.64732551574707,0.36843782663345337,0.8945260047912598,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
116,24,24,13.002883911132812,0.31831130385398865,0.8494420647621155,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
117,25,25,12.928739547729492,0.25887253880500793,0.839812159538269,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
118,26,26,12.986108779907227,0.21605166792869568,0.8013749718666077,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
119,27,27,12.364341735839844,0.18687067925930023,0.789379358291626,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
120,28,28,12.803455352783203,0.16216082870960236,0.7740607857704163,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
121,29,29,12.165246963500977,0.13749411702156067,0.7702150344848633,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
122,30,30,12.71762466430664,0.11380628496408463,0.7695456147193909,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,9c1c9e67922948d0af71d3e1fbcb0ce9,,,
123,0,0,,,,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
124,1,1,13.630167007446289,-1.2575820385052339E-8,4.125888347625732,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
125,2,2,3.9106009006500244,14.875706672668457,3.252357006072998,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
126,3,3,6.218966484069824,12.45455551147461,2.838869571685791,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
127,4,4,2.866058826446533,8.472773551940918,2.556366205215454,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
128,5,5,5.601202487945557,7.351248264312744,2.272615432739258,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
129,6,6,4.172290325164795,6.850794315338135,2.03851318359375,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
130,7,7,4.478023052215576,6.347210884094238,1.8772066831588745,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
131,8,8,3.8549420833587646,5.670026779174805,1.6660131216049194,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
132,9,9,3.6505773067474365,4.238461017608643,1.6311497688293457,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
133,10,10,3.395871639251709,2.861453056335449,1.50969660282135,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
134,11,11,3.2032806873321533,2.4535157680511475,1.4928786754608154,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
135,12,12,3.604619264602661,2.263629198074341,1.4022693634033203,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
136,13,13,3.7046008110046387,2.0371580123901367,1.3917887210845947,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
137,14,14,3.261338233947754,1.7373374700546265,1.3130027055740356,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
138,15,15,4.528443336486816,1.415396809577942,1.2793574333190918,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
139,16,16,3.4578402042388916,1.2937991619110107,1.2191170454025269,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
140,17,17,4.29044246673584,1.134320616722107,1.1728041172027588,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
141,18,18,4.267749786376953,0.9439319372177124,1.0991735458374023,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
142,19,19,5.368095874786377,0.8465741872787476,1.0757534503936768,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
143,20,20,5.438602924346924,0.6386035680770874,1.005475640296936,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
144,21,21,5.5815348625183105,0.5286281704902649,0.9905245900154114,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
145,22,22,6.042974472045898,0.45055773854255676,0.9254505634307861,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
146,23,23,6.934457778930664,0.36843782663345337,0.894525945186615,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
147,24,24,6.315998077392578,0.31831130385398865,0.8494420647621155,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
148,25,25,6.774883270263672,0.25887253880500793,0.839812159538269,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
149,26,26,7.1321210861206055,0.21605166792869568,0.8013749718666077,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
150,27,27,7.55662202835083,0.18687067925930023,0.789379358291626,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
151,28,28,7.622583866119385,0.16216081380844116,0.7740607857704163,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
152,29,29,8.235700607299805,0.13749410212039948,0.7702150344848633,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
153,30,30,8.165731430053711,0.11380628496408463,0.7695456147193909,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,eea0a45003d84d338a9228c8eb3cde44,,,
154,0,0,,,,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,996f12c0a06b48e1a60fa8e9c7eb64e3,,,
155,1,1,0.04625122994184494,-1.2575820385052339E-8,4.125888347625732,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,996f12c0a06b48e1a60fa8e9c7eb64e3,,,
156,2,2,1.826193928718567,14.875706672668457,3.252357006072998,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,996f12c0a06b48e1a60fa8e9c7eb64e3,,,
157,3,3,0.5173200964927673,12.45455551147461,2.838869571685791,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,996f12c0a06b48e1a60fa8e9c7eb64e3,,,
158,4,4,0.5859820246696472,8.472773551940918,2.556366205215454,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,996f12c0a06b48e1a60fa8e9c7eb64e3,,,
